נתוני מסחר - ניירות ערך,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שם,מס' ני''ע,סוג ני''ע,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אוטומקס   אגח ג,1221761,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אוטונומוס,1083419, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אוטונומוס  אג 1,1223031, איגרות חוב להמרה ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אולטרייד,1236967, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אולמד סולושנס,1101450, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אוסטרליה ישראל,1080522, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אופל בלאנס,1094986, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אופל בלאנס אגחד,1220839,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אופק השק  אגח א,1223908,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אופקו הלת',1129543, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אורבניקה,1220755, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אורד,1104496, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אורה סמארט-ש,1176619, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אורון קב  אגח ג,1197763,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אורון קבוצה,1135706, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אוריון,1232750, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אוריון נכס אגחא,1232768,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אוריון נכס אגחב,1232776,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אוריין,1103506, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אוריין     אפ 1,1234897, כתבי אופציה ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אוריין    אגח ב,1143379,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אוריין    אגח ג,1234889,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אורמד פארמ,1141324, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אורמת טכנו,1134402, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אורשי אגח ה,1209014,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אזורים,715011, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אזורים   אגח 13,7150410,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אזורים   אגח 14,7150444,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אזורים   אגח 15,7150451,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אזורים   אגח 16,1223486,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אטראו שוקי הון,1096106, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אי.אס.איי אגח א,1234574,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אי.טי.ג'י.איי,1176114, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איביאי בית השק,175018, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איביאי חיתום,1084482, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איביאי סילבר-ש,1097054, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איביאי פק אגח א,1218676,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איביאי פק אגח ב,1221720,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איביאי פק אגח ג,1223692,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איביאי פק אגח ד,1227719,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איביאי פק אגח ה,1230226,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איביאי פק אגח ו,1235894,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אידומו,1176346, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איה ניורק אגח א,1236280,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איי ארגנטו יהש,1173343,יחידת השתתפות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איי.סי.אל,281014, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אייאיאס,431015, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איידיאיי ביטוח,1129501, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איידיאייהנ הת ו,1183037,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
