ticker,name_en,sector,market_cap_bucket,name_he,security_number,short_name,last_updated
MYAD,,,,מיה דיינמיקס,494013,,21/04/2026
MCMP,,,,מיחשוב ישר קב,507012,,21/04/2026
MTAV,Meitav Investment House,Finance,large,מיטב השקעות,1081843,,21/04/2026
MTRN,,,,מיטרוניקס,1091065,,21/04/2026
MMND,,,,מימון ישיר,1168186,,21/04/2026
MRLN,,,,מירלנד-ש,1108638,,21/04/2026
MSHR,,,,מישורים,1105196,,21/04/2026
ONE,,,,מלם-תים אחזקות,731018,,21/04/2026
MLRN,,,,מלרן,1170950,,21/04/2026
MNRV,,,,מנרב,1238427,,21/04/2026
MRCH,,,,מרחביה אחזקות,257014,,21/04/2026
NXTC,,,,נקסטקום,1095785,,21/04/2026
NTNL,,,,נתנאל גרופ,421016,,21/04/2026
SANY,,,,סאני תקשורת,1082353,,21/04/2026
SBRT,,,,סבוריט-ש,1169978,,21/04/2026
SOLR,,,,סולאיר,1172287,,21/04/2026
STRW,,,,סטרוברי אינק,1205913,,21/04/2026
SAON,,,,סיאון,1194000,,21/04/2026
SIAI,,,,סיאי,442012,,21/04/2026
SIPH,,,,סיפיה וויז'ן,1181932,,21/04/2026
CEL,Cellcom,Telecom,mid,סלקום,1101534,,21/04/2026
SPDV,,,,ספידווליו,1178284,,21/04/2026
SPRNG,,,,ספרינג,1097344,,21/04/2026
SKDX,,,,סקודיקס,1178490,,21/04/2026
AZRG,,,,עזריאלי קבוצה,1119478,,21/04/2026
ALMA,,,,עלמא יסודות,1173145,,21/04/2026
AMIR,,,,עמיר שיווק,1092204,,21/04/2026
AMAL,,,,עמל הולדינגס,1232008,,21/04/2026
AMRM,,,,עמרם,1188200,,21/04/2026
ASHO,,,,עשות,312017,,21/04/2026
PSIAM,,,,פאי סיאם,1186527,,21/04/2026
CYBR,,,,פאלו אלטו,1236736,,21/04/2026
PHOT,,,,פוטומיין,1173855,,21/04/2026
PLGN,,,,פוליגון,745018,,21/04/2026
POMPM,,,,פוםוום,1173434,,21/04/2026
FOX,,,,פוקס,1087022,,21/04/2026
FORTY,,,,פורמולה מערכות,256016,,21/04/2026
FIBIH,,,,פיבי,763011,,21/04/2026
PYTN,,,,פייטון,412015,,21/04/2026
